S.No.|marca modelo|año fabricacion|kilometros|tipo combustible|transmisión|tipo de dueño|rendimiento|motor|potencia|asientos|precio venta
194|Honda City 1.5 GXI|2007|60006|Petroleo|Manual|Primer|0.0 kmpl||||2950.0
195|Honda Amaze S i-Dtech|2014|52000|Diesel|Manual|Primer|25.8 kmpl|1498 CC|98.6 bhp|5.0|3500.0
196|Hyundai i10 Magna|2015|43571|Petroleo|Manual|Primer|20.36 kmpl|1197 cc|78.9 bhp|5.0|3550.0
197|Honda Amaze S i-Dtech|2013|50000|Diesel|Manual|Primer|25.8 kmpl|1498 CC|98.6 bhp|5.0|3250.0
198|Skoda Laura Ambiente|2008|113000|Diesel|Manual|Primer|17.5 kmpl|1896 CC|106 bhp|5.0|4500.0
199|Renault Duster 85PS Diesel RxL|2014|90000|Diesel|Manual|Primer|19.87 kmpl|1461 CC|83.8 bhp|5.0|5350.0
200|Mahindra NuvoSport N6|2017|29000|Diesel|Manual|Segundo|17.45 kmpl|1493 CC|100 bhp|7.0|6500.0
201|Maruti Vitara Brezza ZDi Plus Dual Tone|2016|20000|Diesel|Manual|Primer|24.3 kmpl|1248 CC|88.5 bhp|5.0|9000.0
202|Hyundai i20 Asta Option 1.2|2016|61012|Petroleo|Manual|Primer|18.6 kmpl|1197 CC|81.83 bhp|5.0|6000.0
203|Skoda Fabia 1.4 MPI Ambiente|2009|87459|Petroleo|Manual|Primer|14.7 kmpl|1390 CC|85 bhp|5.0|2750.0
204|Tata Indigo eCS GLX|2010|70500|Petroleo|Manual|Primer|15.64 kmpl|1193 CC|64.1 bhp|5.0|1500.0
205|Audi Q3 2012-2015 35 TDI Quattro Premium Plus|2015|64103|Diesel|Automatico|Primer|15.73 kmpl|1968 CC|174.33 bhp|5.0|19900.0
206|Skoda Octavia Elegance 1.8 TSI AT|2014|76000|Petroleo|Automatico|Primer|14.7 kmpl|1798 CC|177.5 bhp|5.0|10000.0
207|Toyota Etios Liva GD SP|2014|104000|Diesel|Manual|Primer|23.59 kmpl|1364 CC|67.06 bhp|5.0|3000.0
208|Maruti Swift 1.3 VXi|2010|42001|Petroleo|Manual|Primer|16.1 kmpl||||2110.0
209|Mercedes-Benz B Class B180|2014|37245|Petroleo|Automatico|Primer|14.8 kmpl|1595 CC|120.7 bhp|5.0|11960.0
210|Honda Amaze S Diesel|2013|45000|Diesel|Manual|Primer|27.4 kmpl|1498 CC|98.6 bhp|5.0|3250.0
211|Hyundai Verna 1.6 SX|2012|117837|Diesel|Manual|Segundo|22.32 kmpl|1582 CC|126.32 bhp|5.0|4750.0
212|Renault Duster 85PS Diesel RxL Optional|2014|30000|Diesel|Manual|Primer|20.46 kmpl|1461 CC|83.8 bhp|5.0|5950.0
213|Hyundai Creta 1.6 VTVT S|2015|27057|Petroleo|Manual|Segundo|15.29 kmpl|1591 CC|121.3 bhp|5.0|8150.0
214|Maruti Wagon R AMT VXI|2016|8500|Petroleo|Automatico|Primer|20.51 kmpl|998 CC|67 bhp|5.0|4220.0
215|Mercedes-Benz New C-Class C250 Avantgarde|2010|30500|Petroleo|Automatico|Primer|11.74 kmpl|1796 CC|186 bhp|5.0|10500.0
216|Audi A8 L 3.0 TDI quattro|2012|56000|Diesel|Automatico|Primer|11.8 kmpl|2967 CC|246.7 bhp|5.0|45000.0
217|Hyundai i10 Magna 1.1|2012|44000|Petroleo|Manual|Segundo|19.81 kmpl|1086 CC|68.05 bhp|5.0|2900.0
218|Skoda Rapid 1.6 MPI AT Style Black Package|2017|10500|Petroleo|Automatico|Primer|14.3 kmpl|1598 CC|103.52 bhp|5.0|8900.0
219|Skoda Superb Style 1.8 TSI AT|2017|26000|Petroleo|Automatico|Primer|14.67 kmpl|1798 CC|177.46 bhp|5.0|26000.0
220|Hyundai i20 Active 1.2 SX|2018|25166|Petroleo|Manual|Primer|17.19 kmpl|1197 CC|81.86 bhp|5.0|8220.0
221|Honda Amaze VX i-DTEC|2014|64000|Diesel|Manual|Segundo|25.8 kmpl|1498 CC|98.6 bhp|5.0|3500.0
222|Maruti Wagon R LXI|2004|61000|Petroleo|Manual|Segundo|18.9 kmpl|998 CC|67.1 bhp|5.0|1250.0
223|Mahindra Verito 1.5 D4 BSIV|2013|107000|Diesel|Manual|Primer|21.03 kmpl|1461 CC|65 bhp|5.0|3700.0
224|Mercedes-Benz New C-Class C 220d Avantgarde Edition C|2018|29161|Diesel|Automatico|Primer|19.27 kmpl|2143 CC|167.62 bhp|5.0|39410.0
225|Maruti Wagon R VXI|2013|32000|Petroleo|Manual|Primer|22.5 kmpl|998 CC|67.04 bhp|5.0|2650.0
226|Nissan Terrano XV Premium 110 PS Anniversary Edition|2015|46173|Diesel|Manual|Segundo|19.01 kmpl|1461 CC|108.5 bhp|5.0|8920.0
227|Maruti Swift VDI BSIV|2013|47000|Diesel|Manual|Primer|17.8 kmpl|1248 CC|null bhp|5.0|4100.0
228|Mini-Cooper Convertible S|2017|26327|Petroleo|Automatico|Primer|16.82 kmpl|1998 CC|189.08 bhp|4.0|35670.0
229|Ford Figo Diesel|2015|70436|Diesel|Manual|Primer|0.0 kmpl|1498 CC|99 bhp||3600.0
230|Tata Indica V2 DLS BSII|2007|200000|Diesel|Manual|Segundo|17.2 kmpl|1396 CC|53.5 bhp|5.0|850.0
231|Chevrolet Beat LT|2016|60813|Petroleo|Manual|Segundo|18.6 kmpl|1199 CC|76.8 bhp|5.0|3320.0
232|Volkswagen Polo Diesel Comfortline 1.2L|2012|45000|Diesel|Manual|Primer|22.07 kmpl|1199 CC|73.9 bhp|5.0|3600.0
233|Maruti Swift ZDi|2016|64000|Diesel|Manual|Primer|22.9 kmpl|1248 CC|74 bhp|5.0|6800.0
234|Ford Figo Diesel EXI|2012|41284|Diesel|Manual|Primer|20.0 kmpl|1399 CC|68.05 bhp|5.0|2500.0
235|Toyota Innova Crysta 2.8 GX AT|2019|14165|Diesel|Automatico|Primer|11.36 kmpl|2755 CC|171.5 bhp|7.0|19640.0
236|Hyundai Santa Fe 4x4 AT|2011|67000|Diesel|Automatico|Segundo|11.72 kmpl|2199 CC|194.3 bhp|7.0|7000.0
237|Honda City i-VTEC V|2011|32572|Petroleo|Manual|Primer|17.4 kmpl|1497 CC|117.3 bhp|5.0|3870.0
238|Hyundai i20 1.2 Magna Executive|2018|14960|Petroleo|Manual|Primer|18.6 kmpl|1197 CC|81.83 bhp|5.0|6270.0
239|Mercedes-Benz New C-Class C 220d Avantgarde Edition C|2015|55980|Diesel|Automatico|Primer|19.27 kmpl|2143 CC|167.62 bhp|5.0|18120.0
240|Chevrolet Beat Diesel LT|2013|74000|Diesel|Manual|Primer|25.44 kmpl|936 CC|57.6 bhp|5.0|2650.0
241|Hyundai i20 Sportz 1.4 CRDi|2015|56847|Diesel|Manual|Primer|22.54 kmpl|1396 CC|88.73 bhp|5.0|7200.0
242|Toyota Innova 2.5 Z Diesel 7 Seater|2015|121374|Diesel|Manual|Primer|12.99 kmpl|2494 CC|100.6 bhp|7.0|14300.0
243|Maruti Ertiga VDI|2013|52000|Diesel|Manual|Primer|20.77 kmpl|1248 CC|88.76 bhp|7.0|6900.0
244|Toyota Innova 2.5 V Diesel 7-seater|2014|118000|Diesel|Manual|Primer|12.8 kmpl|2494 CC|102 bhp|7.0|10750.0
245|Hyundai Santro Xing XO eRLX Euro II|2007|72000|Petroleo|Manual|Tercer|17.0 kmpl|1086 CC|null bhp|5.0|950.0
246|Honda City i VTEC V|2016|33915|Petroleo|Manual|Primer|17.8 kmpl|1497 CC|117.3 bhp|5.0|8090.0
247|BMW X1 sDrive20d|2014|82002|Diesel|Automatico|Primer|17.05 kmpl|1995 CC|184 bhp|5.0|18500.0
248|Hyundai Grand i10 CRDi Era|2017|33000|Diesel|Manual|Primer|24.0 kmpl|1120 CC|70 bhp|5.0|4750.0
249|Maruti Ciaz 1.3 Alpha|2016|34000|Diesel|Manual|Primer|28.09 kmpl|1248 CC|88.5 bhp|5.0|8450.0
250|Skoda Rapid Leisure 1.6 TDI MT|2012|55000|Diesel|Manual|Primer|20.5 kmpl|1598 CC|103.6 bhp|5.0|3500.0
251|Hyundai Accent CRDi|2006|160538|Diesel|Manual|Primer|13.1 kmpl|1493 CC|82 bhp|5.0|1800.0
252|Volkswagen Polo GT 1.5 TDI|2014|60000|Diesel|Manual|Segundo|19.91 kmpl|1498 CC|103.6 bhp|5.0|3700.0
253|Honda Jazz 1.2 VX i VTEC|2017|49575|Petroleo|Manual|Primer|18.7 kmpl|1199 CC|88.7 bhp|5.0|7170.0
254|Hyundai i10 Era|2010|83000|Petroleo|Manual|Primer|19.81 kmpl|1086 CC|68.05 bhp|5.0|1750.0
255|Hyundai Tucson 2.0 e-VGT 2WD AT GLS|2018|51346|Diesel|Automatico|Primer|16.38 kmpl|1995 CC|183 bhp|5.0|21990.0
256|Toyota Innova Crysta 2.4 ZX MT|2017|43000|Diesel|Manual|Primer|13.68 kmpl|2393 CC|147.8 bhp|7.0|18650.0
257|Maruti Omni MPI CARGO BSIII W/ IMMOBILISER|2011|35000|Petroleo|Manual|Tercer|19.7 kmpl|796 CC|35 bhp|5.0|1850.0
258|Maruti Swift VXI BSIV|2017|27872|Petroleo|Manual|Segundo|20.4 kmpl|1197 CC|81.80 bhp|5.0|5950.0
259|Hyundai Grand i10 Magna|2014|16514|Petroleo|Manual|Primer|18.9 kmpl|1197 CC|82 bhp|5.0|3750.0
260|Maruti Swift VDI|2012|120000|Diesel|Manual|Primer|22.9 kmpl|1248 CC|74 bhp|5.0|3750.0
261|Hyundai Verna CRDi 1.6 SX|2008|143275|Diesel|Manual|Primer|22.0 kmpl|1582 CC|126.2 bhp|5.0|2600.0
262|Hyundai Santro Xing XL|2006|99000|Petroleo|Manual|Primer|0.0 kmpl|1086 CC|null bhp|5.0|1750.0
263|Hyundai i20 1.2 Sportz|2010|52000|Petroleo|Manual|Primer|17.0 kmpl|1197 CC|80 bhp|5.0|2800.0
264|Mercedes-Benz GLE 350d|2017|29819|Diesel|Automatico|Primer|11.57 kmpl|2987 CC|254.79 bhp|5.0|61290.0
265|Mercedes-Benz New C-Class C 220 CDI CLASSIC|2014|57000|Diesel|Manual|Segundo|15.8 kmpl|2148 CC|170 bhp|5.0|18000.0
266|Maruti Ritz ZDi|2014|88500|Diesel|Manual|Primer|23.2 kmpl|1248 CC|73.94 bhp|5.0|4350.0
267|Hyundai Creta 1.6 CRDi SX|2016|28000|Diesel|Manual|Primer|19.67 kmpl|1582 CC|126.2 bhp|5.0|13750.0
268|Maruti A-Star Vxi|2010|67000|Petroleo|Manual|Primer|19.0 kmpl|998 CC|66.1 bhp|5.0|2000.0
269|Renault Duster 110PS Diesel RXZ Option|2016|26000|Diesel|Manual|Primer|19.64 kmpl|1461 CC|108.45 bhp|5.0|10000.0
270|Fiat Grande Punto 1.3 Emotion Pack (Diesel)|2010|120000|Diesel|Manual|Primer|17.8 kmpl|1248 CC|76 bhp|5.0|1650.0
271|BMW X3 xDrive30d M Sport|2017|51982|Diesel|Automatico|Primer|16.55 kmpl|2993 CC|258 bhp|5.0|45770.0
272|Hyundai i10 Sportz|2010|36000|Petroleo|Manual|Segundo|20.36 kmpl|1197 CC|78.9 bhp|5.0|3250.0
273|Toyota Innova 2.5 G4 Diesel 7-seater|2016|47000|Diesel|Manual|Primer|12.8 kmpl|2494 CC|102 bhp|7.0|12800.0
274|Maruti Zen VXI BSII|2002|60000|Petroleo|Manual|Tercer|17.3 kmpl|993 CC|60 bhp|5.0|550.0
275|Maruti Swift VDI|2018|31025|Diesel|Manual|Primer|28.4 kmpl|1248 CC|74 bhp|5.0|7150.0
276|Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV|2013|105000|Diesel|Manual|Segundo|12.05 kmpl|2179 CC|120 bhp|8.0|7000.0
277|Tata Zest Quadrajet 1.3 75PS XE|2017|121900|Diesel|Manual|Primer|22.95 kmpl|1248 CC|74 bhp|5.0|3750.0
278|Ford EcoSport 1.0 Ecoboost Titanium Plus|2017|22695|Petroleo|Manual|Primer|18.88 kmpl|999 CC|123.24 bhp|5.0|8500.0
279|Maruti Swift Dzire ZDI|2012|73000|Diesel|Manual|Primer|23.4 kmpl|1248 CC|74 bhp|5.0|4350.0
280|Maruti Alto 800 LXI|2016|32227|Petroleo|Manual|Primer|22.74 kmpl|796 CC|47.3 bhp|5.0|3260.0
281|Honda City 1.5 S MT|2011|55000|Petroleo|Manual|Primer|17.0 kmpl|1497 CC|118 bhp|5.0|4210.0
282|Audi Q7 3.0 TDI Quattro Technology|2018|11287|Diesel|Automatico|Primer|12.07 kmpl|2967 CC|241.4 bhp|7.0|70360.0
283|Skoda Laura 1.9 TDI AT Ambiente|2009|48000|Diesel|Automatico|Segundo|17.0 kmpl|1896 CC|105 bhp|5.0|2950.0
284|Hyundai Verna 1.6 SX VTVT (O)|2012|54308|Petroleo|Manual|Primer|17.1 kmpl|1591 CC|121.3 bhp|5.0|4280.0
285|Honda City 1.5 V AT|2009|78442|Petroleo|Automatico|Primer|16.8 kmpl|1497 CC|118 bhp|5.0|3570.0
286|Hyundai i20 Magna Optional 1.4 CRDi|2013|46000|Diesel|Manual|Primer|21.9 kmpl|1396 CC|88.8 bhp|5.0|3110.0
287|Hyundai i20 Sportz AT 1.4|2014|45051|Petroleo|Automatico|Primer|15.0 kmpl|1396 CC|98.6 bhp|5.0|5960.0
288|Volkswagen Vento Diesel Highline|2011|69000|Diesel|Manual|Primer|20.54 kmpl|1598 CC|103.6 bhp|5.0|4700.0
289|Honda City i VTEC VX|2014|49000|Petroleo|Manual|Primer|17.4 kmpl|1497 CC|117.3 bhp|5.0|6900.0
290|Tata Zest Quadrajet 1.3 75PS XE|2018|45000|Diesel|Manual|Primer|22.95 kmpl|1248 CC|74 bhp|5.0|5250.0
291|BMW 5 Series 2003-2012 520d|2015|64000|Diesel|Automatico|Primer|18.48 kmpl|1995 CC|177 bhp|5.0|28000.0
292|Maruti Wagon R LXI Minor|2009|60000|Petroleo|Manual|Primer|18.9 kmpl|1061 CC|67 bhp|5.0|1350.0
293|Honda Jazz VX|2015|62178|Petroleo|Manual|Primer|18.2 kmpl|1199 CC|88.7 bhp|5.0|4850.0
294|Volkswagen Jetta 2007-2011 2.0 TDI Comfortline|2012|58006|Diesel|Manual|Primer|15.0 kmpl|1896 CC|105 bhp|5.0|6700.0
295|Hyundai i10 Magna 1.2|2010|74000|Petroleo|Manual|Primer|20.36 kmpl|1197 CC|78.9 bhp|5.0|3100.0
296|Mercedes-Benz New C-Class C 220 CDI Avantgarde|2015|77771|Diesel|Automatico|Primer|19.27 kmpl|2143 CC|170 bhp|5.0|18640.0
297|Hyundai i10 Magna 1.2 iTech SE|2012|45275|Petroleo|Manual|Primer|20.36 kmpl|1197 CC|78.9 bhp|5.0|2800.0
298|Toyota Innova Crysta 2.4 ZX MT|2016|48000|Diesel|Manual|Primer|13.68 kmpl|2393 CC|147.8 bhp|7.0|20250.0
299|Audi A6 2011-2015 2.0 TDI Technology|2015|31652|Diesel|Automatico|Primer|17.68 kmpl|1968 CC|174.33 bhp|5.0|26780.0
300|Toyota Innova 2.5 VX (Diesel) 7 Seater|2010|109000|Diesel|Manual|Segundo|12.99 kmpl|2494 CC|100.6 bhp|7.0|8260.0
301|Volkswagen Polo Petrol Trendline 1.2L|2015|31978|Petroleo|Manual|Primer|16.47 kmpl|1198 CC|73.9 bhp|5.0|3890.0
302|Maruti Alto K10 LXI|2011|70000|Petroleo|Manual|Primer|20.92 kmpl|998 CC|67.1 bhp|5.0|2100.0
303|Honda City i-VTEC CVT ZX|2017|15000|Petroleo|Automatico|Primer|18.0 kmpl|1497 CC|117.3 bhp|5.0|12690.0
304|Tata Indigo LX|2013|59138|Diesel|Manual|Primer|17.0 kmpl|1405 CC|70 bhp|5.0|2580.0
305|Audi A6 2011-2015 2.0 TDI Premium Plus|2014|61726|Diesel|Automatico|Primer|17.68 kmpl|1968 CC|174.33 bhp|5.0|20770.0
306|Mercedes-Benz GLA Class 200 CDI SPORT|2015|48000|Diesel|Automatico|Primer|17.9 kmpl|2143 CC|136 bhp|5.0|20260.0
307|Hyundai Santro Xing XL|2006|58000|Petroleo|Manual|Segundo|0.0 kmpl|1086 CC|null bhp|5.0|1500.0
308|Maruti Swift VDI BSIV|2011|60020|Diesel|Manual|Primer|17.8 kmpl|1248 CC|null bhp|5.0|2500.0
309|Maruti Celerio VXI AT|2014|77815|Petroleo|Automatico|Primer|23.1 kmpl|998 CC|67.04 bhp|5.0|4250.0
310|Mercedes-Benz GLE 250d|2017|29000|Diesel|Automatico|Primer|17.9 kmpl|2143 CC|201.15 bhp|5.0|57000.0
311|Land Rover Range Rover HSE Dynamic|2017|44000|Diesel|Automatico|Primer|12.7 kmpl|2179 CC|187.7 bhp|5.0|44000.0
312|Volkswagen Vento Diesel Trendline|2011|108626|Diesel|Manual|Primer|20.54 kmpl|1598 CC|103.6 bhp|5.0|3650.0
313|Maruti Omni 8 Seater BSIV|2012|71791|Petroleo|Manual|Primer|14.0 kmpl|796 CC|35 bhp|5.0|2050.0
314|Honda Brio 1.2 VX MT|2012|91931|Petroleo|Manual|Primer|18.5 kmpl|1198 CC|86.8 bhp|5.0|3130.0
315|Tata Sumo Delux|2000|158000|Diesel|Manual|Segundo|14.07 kmpl|2956 CC|83.1 bhp|7.0|1500.0
316|Tata Indica Vista Aura 1.3 Quadrajet|2012|91183|Diesel|Manual|Primer|18.0 kmpl|1248 CC|75 bhp|5.0|2850.0
317|Maruti Wagon R LXI BS IV|2012|65000|Petroleo|Manual|Primer|18.9 kmpl|998 CC|67.1 bhp|5.0|2650.0
318|Mahindra XUV500 W8 4WD|2015|88428|Diesel|Manual|Primer|16.0 kmpl|2179 CC|140 bhp|7.0|10600.0
319|Tata Indigo LS Dicor|2008|138000|Diesel|Manual|Segundo|17.1 kmpl|1396 CC|70 bhp|5.0|1250.0
320|Maruti Ertiga Paseo VXI|2018|18000|Petroleo|Manual|Primer|16.02 kmpl|1373 CC|93.7 bhp|7.0|8250.0
321|Honda Accord 2.4 A/T|2011|60000|Petroleo|Automatico|Primer|11.7 kmpl|2354 CC|177.6 bhp|5.0|4450.0
322|Maruti Swift Dzire VDi|2012|48000|Diesel|Manual|Primer|19.3 kmpl|1248 CC|73.9 bhp|5.0|3700.0
323|Ford Fiesta EXi 1.4 TDCi Ltd|2009|160000|Diesel|Manual|Primer|17.8 kmpl|1399 CC|68 bhp|5.0|2800.0
324|Honda City ZX GXi|2008|40000|Petroleo|Manual|Primer|17.7 kmpl|1497 CC|78 bhp|5.0|1800.0
325|Audi A6 2011-2015 2.0 TDI Premium Plus|2014|51495|Diesel|Automatico|Primer|17.68 kmpl|1968 CC|174.33 bhp|5.0|21950.0
326|BMW 6 Series 640d Gran Coupe|2011|30000|Diesel|Automatico|Primer|9.52 kmpl|2993 CC|313 bhp|4.0|49000.0
327|Audi Q7 45 TDI Quattro Technology|2017|97430|Diesel|Automatico|Primer|14.75 kmpl|2967 CC|245 bhp|7.0|62670.0
328|Maruti Zen Estilo LXI Green (GNC)|2008|42496|GNC|Manual|Primer|26.3 kmpl|998 CC|67.1 bhp|5.0|1400.0
329|Hyundai i20 1.4 CRDi Asta|2012|83000|Diesel|Manual|Primer|23.0 KMPL|1396 CC|90 bhp|5.0|5500.0
330|Hyundai i10 Sportz AT|2009|37000|Petroleo|Automatico|Tercer|16.95 kmpl|1197 CC|78.9 bhp|5.0|2950.0
331|Honda Jazz 1.2 V CVT i VTEC|2016|28503|Petroleo|Automatico|Primer|19.0 kmpl|1199 CC|88.7 bhp|5.0|6860.0
332|Maruti Swift VDI BSIV|2015|76496|Diesel|Manual|Primer|25.2 kmpl|1248 CC|74 bhp|5.0|6150.0
333|Hyundai i20 Asta 1.2|2011|79152|Petroleo|Manual|Segundo|18.5 kmpl|1197 CC|82.85 bhp|5.0|3300.0
334|Volkswagen Polo Petrol Comfortline 1.2L|2011|32000|Petroleo|Manual|Primer|16.47 kmpl|1198 CC|73.9 bhp|5.0|2550.0
335|Maruti Alto LXi|2009|35000|Petroleo|Manual|Primer|19.7 kmpl|796 CC|46.3 bhp|5.0|1500.0
336|Toyota Corolla H4|2004|105000|Petroleo|Automatico|Segundo|11.3 kmpl|1794 CC|125 bhp|5.0|2500.0
337|Maruti Alto LXi|2006|56000|Petroleo|Manual|Segundo|19.7 kmpl|796 CC|46.3 bhp|5.0|1400.0
338|Tata Manza ELAN Quadrajet BS IV|2012|73000|Diesel|Manual|Primer|21.12 kmpl|1248 CC|88.8 bhp|5.0|3400.0
339|Maruti Alto LXi|2012|38000|Petroleo|Manual|Primer|19.7 kmpl|796 CC|46.3 bhp|5.0|2250.0
340|Skoda Octavia Ambition Plus 2.0 TDI AT|2013|775000|Diesel|Automatico|Primer|19.3 kmpl|1968 CC|141 bhp|5.0|7500.0
341|Toyota Corolla H4|2008|80000|Petroleo|Automatico|Primer|11.3 kmpl|1794 CC|125 bhp|5.0|2800.0
342|Hyundai i20 Asta Option 1.2|2016|24973|Petroleo|Manual|Primer|18.6 kmpl|1197 CC|81.83 bhp|5.0|7660.0
343|Maruti Vitara Brezza LDi|2016|45000|Diesel|Manual|Primer|24.3 kmpl|1248 CC|88.5 bhp|5.0|7150.0
344|Honda City 1.5 V MT|2010|87430|Petroleo|Manual|Primer|17.0 kmpl|1497 CC|118 bhp|5.0|3500.0
345|Tata Indica Vista Aqua 1.3 Quadrajet|2014|133944|Diesel|Manual|Segundo|18.0 kmpl|1248 CC|75 bhp|5.0|3500.0
346|Honda Amaze S i-Dtech|2013|57000|Diesel|Manual|Primer|25.8 kmpl|1498 CC|98.6 bhp|5.0|3450.0
347|Hyundai EON D Lite Plus|2016|27904|Petroleo|Manual|Primer|21.1 kmpl|814 CC|55.2 bhp|5.0|3550.0
348|BMW 3 Series Luxury Line|2015|30717|Diesel|Automatico|Segundo|21.76 kmpl|1995 CC|190 bhp|5.0|25990.0
349|Hyundai Verna 1.6 SX|2012|80000|Diesel|Manual|Primer|22.32 kmpl|1582 CC|126.32 bhp|5.0|5250.0
350|Tata Manza Club Class Quadrajet90 LS|2013|47304|Diesel|Manual|Primer|21.02 kmpl|1248 CC|88.8 bhp|5.0|2900.0
351|Skoda Octavia RS|2005|100000|Petroleo|Automatico|Primer|14.45 kmpl|1984 CC|227 bhp|5.0|2050.0
352|Maruti Alto K10 VXI|2017|30000|Petroleo|Manual|Primer|24.07 kmpl|998 CC|67.1 bhp|5.0|3750.0
353|Ford Ecosport 1.5 DV5 MT Titanium Optional|2014|68000|Diesel|Manual|Primer|22.7 kmpl|1498 CC|89.84 bhp|5.0|6750.0
354|Chevrolet Spark 1.0 LS|2011|21000|Petroleo|Manual|Segundo|18.0 kmpl|995 CC|62 bhp|5.0|950.0
355|Jaguar XF 2.0 Diesel Portfolio|2017|21000|Diesel|Automatico|Primer|19.33 kmpl|1999 CC|177 bhp|5.0|52000.0
356|Honda CR-V RVi MT|2007|119000|Petroleo|Manual|Tercer|13.1 kmpl|1997 CC|141.1 bhp|5.0|3910.0
357|Skoda Superb L&K 1.8 TSI AT|2019|13747|Petroleo|Automatico|Primer|14.67 kmpl|1798 CC|177.46 bhp|5.0|27300.0
358|Hyundai i10 Magna 1.2|2009|620000|Petroleo|Manual|Primer|20.36 kmpl|1197 CC|78.9 bhp|5.0|2700.0
359|Maruti Swift LDI|2013|70000|Diesel|Manual|Primer|22.9 kmpl|1248 CC|74 bhp|5.0|3500.0
360|Maruti Swift Dzire VXi AT|2016|18000|Petroleo|Automatico|Primer|18.5 kmpl|1197 CC|83.14 bhp|5.0|6200.0
361|Nissan Micra Diesel XV|2011|83000|Diesel|Manual|Primer|23.08 kmpl|1461 CC|63.1 bhp|5.0|2750.0
362|Maruti Swift Dzire Tour LDI|2015|130000|Diesel|Manual|Primer|23.4 kmpl|1248 CC|74 bhp|5.0|3250.0
363|Ford Fiesta Classic 1.4 Duratorq CLXI|2012|63400|Diesel|Manual|Primer|17.8 kmpl|1399 CC|67 bhp|5.0|3250.0
364|Maruti Zen LX|2003|65000|Petroleo|Manual|Primer|17.3 kmpl|993 CC|60 bhp|5.0|650.0
365|Mini Clubman Cooper S|2017|8350|Petroleo|Manual|Primer|13.8 kmpl|1998 CC|192 bhp|5.0|35000.0
366|Toyota Etios GD|2014|45000|Diesel|Manual|Primer|23.59 kmpl|1364 CC|67.05 bhp|5.0|3250.0
367|Maruti Alto 800 2016-2019 LXI|2018|26200|Petroleo|Manual|Primer|24.7 kmpl|796 CC|47.3 bhp|5.0|2900.0
368|Maruti Alto VXi|2011|11000|Petroleo|Manual|Tercer|18.9 kmpl|796 CC|47 bhp|5.0|2900.0
369|BMW X5 3.0d|2009|90000|Diesel|Automatico|Segundo|11.0 kmpl|2993 CC|235 bhp|5.0|17750.0
370|Nissan Teana XV|2015|74000|Petroleo|Automatico|Segundo|11.07 kmpl|2496 CC|179.5 bhp|5.0|8250.0
371|Hyundai Grand i10 AT Asta|2015|37081|Petroleo|Automatico|Primer|18.9 kmpl|1197 CC|82 bhp|5.0|5770.0
372|Maruti Vitara Brezza ZDi Plus|2017|39000|Diesel|Manual|Primer|24.3 kmpl|1248 CC|88.5 bhp|5.0|9490.0
373|Audi Q7 3.0 TDI Quattro Premium Plus|2008|99000|Diesel|Automatico|Tercer|12.07 kmpl|2967 CC|241.4 bhp|7.0|12950.0
374|Mercedes-Benz GLA Class 200 CDI|2015|38000|Diesel|Automatico|Primer|17.9 kmpl|2143 CC|136 bhp|5.0|20000.0
375|Maruti 800 AC|2007|72000|Petroleo|Manual|Tercer|16.1 kmpl|796 CC|37 bhp|4.0|1000.0
376|Renault Duster 85PS Diesel RxL|2015|93000|Diesel|Manual|Segundo|20.45 kmpl|1461 CC|83.8 bhp|5.0|7100.0
377|Toyota Corolla Altis D-4D GL|2017|5900|Diesel|Manual|Primer|21.43 kmpl|1364 CC|87.2 bhp|5.0|16500.0
378|Mercedes-Benz New C-Class 220|2014|25000|Diesel|Manual|Primer|15.8 kmpl|2148 CC|170 bhp|5.0|26000.0
379|Maruti Ritz VDi|2010|68000|Diesel|Manual|Segundo|21.1 kmpl|1248 CC|73.9 bhp|5.0|3200.0
380|Honda BRV i-VTEC V CVT|2017|35676|Petroleo|Automatico|Primer|16.0 kmpl|1497 CC|117.3 bhp|7.0|9480.0
381|Hyundai Xcent 1.1 CRDi Base|2015|74310|Diesel|Manual|Primer|24.4 kmpl|1120 CC|71 bhp|5.0|4000.0
382|Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde|2014|59364|Diesel|Automatico|Primer|14.21 kmpl|2143 CC|203 bhp|5.0|26500.0
383|Mercedes-Benz B Class B180|2014|41380|Petroleo|Automatico|Segundo|14.8 kmpl|1595 CC|120.7 bhp|5.0|11770.0
384|Mercedes-Benz E-Class 2015-2017 E250 Edition E|2017|33900|Diesel|Automatico|Primer|15.0 kmpl|2143 CC|204 bhp|5.0|37000.0
385|Honda City i VTEC VX Option|2016|28000|Petroleo|Manual|Primer|17.8 kmpl|1497 CC|117.3 bhp|5.0|8750.0
386|Hyundai Santro Xing XL eRLX Euro III|2007|50958|Petroleo|Manual|Primer|17.0 kmpl|1086 CC|null bhp|5.0|1950.0
387|Honda City 1.5 S MT|2011|93982|Petroleo|Manual|Primer|17.0 kmpl|1497 CC|118 bhp|5.0|3750.0
388|Hyundai Verna Transform VTVT|2010|95000|Petroleo|Manual|Primer|16.2 kmpl|1599 CC|103.2 bhp|5.0|2500.0
389|Jaguar XE Portfolio|2017|9000|Petroleo|Automatico|Primer|13.5 kmpl|1999 CC|246.74 bhp|5.0|34500.0
